module	verdict	reason	sources	nodes	outputs	flops	mems	inputs	check_ms	step1_ms	run_ms	cycles	wall_s	rss_kb	path
txfma_rnd_adder	ACCEPTED		33	35	1	0	0	3	2	5	10	4	1.3	478460	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_rnd_adder_Lgraph.lean
txfma_trz	ACCEPTED		169	167	1	0	0	1	3	4	12	4	2.6	494984	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_trz_Lgraph.lean
txfma_trz2	ACCEPTED		984	1189	1	0	0	3	14	43	162	4	7.3	642348	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_trz2_Lgraph.lean
txfma_wallace1	ACCEPTED		8931	11043	4	0	0	17	171	360	1275	4	120.3	2181096	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_wallace1_Lgraph.lean
txfma_wallace2	ACCEPTED		5430	6515	2	0	0	7	85	245	987	4	56.5	1478268	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_wallace2_Lgraph.lean
txfmactl_top	ACCEPTED		8508	10045	199	289	0	106	414	484	830	4	124.5	2068248	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfmactl_top_Lgraph.lean
vpu_bypass	ACCEPTED		477	554	5	10	0	44	25	28	51	4	3.2	561160	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/vpu_bypass_Lgraph.lean
vpu_decoder	ACCEPTED		4424	4844	2	0	0	1	58	148	599	4	34.8	1228936	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/vpu_decoder_Lgraph.lean
vpu_mask	ACCEPTED		14590	14860	7	60	0	30	323	2093	6733	4	284.9	2811148	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/vpu_mask_Lgraph.lean
vpu_ml	ACCEPTED		4455	5046	42	170	0	7	68	145	509	4	34.7	1276760	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/vpu_ml_Lgraph.lean
vpu_sh_sw	ACCEPTED		3014	3224	2	10	0	14	54	158	472	4	20.7	1001804	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/vpu_sh_sw_Lgraph.lean
vpu_tensorfma	ACCEPTED		2634	2971	34	123	0	7	40	71	275	4	18.4	932868	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/vpu_tensorfma_Lgraph.lean
vpu_tensorquant	ACCEPTED		1262	1436	9	34	0	7	25	46	167	4	8.4	695740	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/vpu_tensorquant_Lgraph.lean
vpu_tensorreduce	ACCEPTED		481	546	6	12	0	11	16	32	44	4	3.0	557536	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/vpu_tensorreduce_Lgraph.lean
vpu_trans	ACCEPTED		3852	4152	13	114	0	13	66	298	1174	4	31.7	1160264	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/vpu_trans_Lgraph.lean
vpu_uinst_decoder	ACCEPTED		525	572	1	0	0	1	10	23	70	4	3.3	562008	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/vpu_uinst_decoder_Lgraph.lean
cva6_hpdcache_subsystem_gate	LEAN_ERROR	Command exited with non-zero status 1										4	700.5	15548420	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cva6_hpdcache_subsystem/lean/cva6_hpdcache_subsystem_gate_Lgraph.lean
cva6_hpdcache_wrapper_gate	LEAN_ERROR	Command exited with non-zero status 1										4	703.3	15337884	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/cva6_hpdcache_wrapper/lean/cva6_hpdcache_wrapper_gate_Lgraph.lean
