module	verdict	bucket	sources	nodes	flops	memories	wall_s	peak_rss_kb	legacy_emit	detail
trans_top	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	[ERROR] pass.lean: memory node n_1324 bits=25 size=128 addr_width=1 type=0 fwd=0 undef=0 posclk=0 wensize=25 r
txfma_booth_ppg_32r4_msb	PROVEN	proven	10	11	0	0	5.32	6679064	EMITTED	1/1
txfma_booth_ppg_32r4	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	[ERROR] pass.lean: memory node n_2244 bits=5 size=8 addr_width=1 type=0 fwd=0 undef=0 posclk=0 wensize=5 rdpor
txfma_booth_ppg_32r4_norm	NO_EMIT(unknown)	blocked-upstream							NO_EMIT	[ERROR] pass.lean: memory node n_48 bits=5 size=8 addr_width=1 type=0 fwd=0 undef=0 posclk=0 wensize=5 rdports
minion_dcache_tensor_load	PROVEN	proven	9349	11424	112	0	171.17	8387712	NO_EMIT	1/1
txfma_c1	PROVEN	proven	156	178	0	0	6.44	6695700	EMITTED	1/1
txfma_c0	PROVEN	proven	2268	2902	11	0	22.61	7110840	EMITTED	1/1
txfma_4_2_compressor_array	PROVEN	proven	3480	4048	0	0	31.99	7307160	EMITTED	1/1
txfma_c2	PROVEN	proven	1606	1785	0	0	14.62	6932872	EMITTED	1/1
txfma_c3	PROVEN	proven	1895	2030	0	0	16.19	6977980	EMITTED	1/1
txfma_csa	PROVEN	proven	17	21	0	0	5.43	6677092	EMITTED	1/1
txfma_c4	PROVEN	proven	270	303	0	0	6.69	6723972	EMITTED	1/1
txfma_c5	PROVEN	proven	526	601	0	0	8.19	6767184	EMITTED	1/1
txfma_c6	PROVEN	proven	1028	1320	0	0	11.84	6865912	EMITTED	1/1
intpipe_csr_file	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
txfmactl_top	PROVEN	proven	8508	10045	289	0	137.43	8257228	EMITTED	1/1
txfma_e1	PROVEN	proven	421	489	0	0	7.71	6745544	EMITTED	1/1
txfma_e4	PROVEN	proven	4	3	0	0	5.33	6677292	EMITTED	1/1
txfma_e6	PROVEN	proven	115	133	0	0	5.93	6692144	EMITTED	1/1
txfma_e2	PROVEN	proven	2017	2161	0	0	17.04	7011292	EMITTED	1/1
txfma_exp_special_detect	PROVEN	proven	246	360	0	0	6.86	6726652	EMITTED	1/1
txfma_ediff_opdorder_logic	PROVEN	proven	1397	1445	0	0	12.74	6897992	EMITTED	1/1
minion_frontend	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
intpipe_rf	PROVEN	proven	1370	1618	65	0	13.72	6916632	EMITTED	1/1
txfma_f4	PROVEN	proven	3114	4028	6	0	28.83	7271268	EMITTED	1/1
txfma_f1	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	[ERROR] pass.lean: memory node n_105292 bits=5 size=8 addr_width=1 type=1 fwd=0 undef=0 posclk=1 wensize=5 rdp
minion_dcache_top	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
intpipe_top	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
txfma_frac_zero_detect	PROVEN	proven	3	4	0	0	5.32	6679164	EMITTED	1/1
txfma_lxd	PROVEN	proven	1948	2659	0	0	19.36	7056960	EMITTED	1/1
txfma_norm_shf	PROVEN	proven	17	19	0	0	5.41	6677796	EMITTED	1/1
txfma_rnd_adder	PROVEN	proven	33	35	0	0	5.48	6679576	EMITTED	1/1
txfmafrac_top	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	[ERROR] pass.lean: memory node n_159544 bits=5 size=8 addr_width=1 type=1 fwd=0 undef=0 posclk=1 wensize=5 rdp
txfma_top_fake	NO_EMIT(filelist)	blocked-upstream							NO_EMIT	
txfma_trz	PROVEN	proven	169	167	0	0	6.08	6696192	EMITTED	1/1
txfma_trz2	PROVEN	proven	984	1189	0	0	11.06	6849988	EMITTED	1/1
txfma_wallace1	PROVEN	proven	8931	11043	0	0	141.12	8366112	EMITTED	1/1
txfma_wallace2	PROVEN	proven	5430	6515	0	0	56.25	7678948	EMITTED	1/1
vpu_bypass	PROVEN	proven	477	554	10	0	7.94	6753948	EMITTED	1/1
txfma_top	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	[ERROR] pass.lean: memory node n_180048 bits=5 size=8 addr_width=1 type=1 fwd=0 undef=0 posclk=1 wensize=5 rdp
vpu_decoder	PROVEN	proven	4424	4844	0	0	37.85	7431900	EMITTED	1/1
vpu_ctrl	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
vpu_lane_tima	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
vpu_mask	PROVEN	proven	14590	14860	60	0	291.85	8980440	NO_EMIT	1/1
vpu_ml	PROVEN	proven	4455	5046	170	0	41.08	7477636	EMITTED	1/1
vpu_rf	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
vpu_sh_sw	PROVEN	proven	3014	3224	10	0	23.97	7199852	NO_EMIT	1/1
vpu_tensora_rf	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
